probeID B NK CD4T CD8T Gran Mono Neutro Eosino
cg09261289 0.974 0.268 0.972 0.693 0.975 0.978 0.973 0.984
cg15241779 0.936 0.249 0.945 0.667 0.96 0.968 0.966 0.969
cg20460771 0.933 0.177 0.874 0.465 0.904 0.91 0.909 0.908
cg05224770 0.74 0.108 0.694 0.35 0.948 0.919 0.938 0.934
cg13617280 0.936 0.247 0.929 0.833 0.862 0.948 0.845 0.918
cg04780380 0.829 0.116 0.692 0.273 0.936 0.944 0.93 0.945
cg10628126 0.952 0.232 0.875 0.643 0.975 0.865 0.975 0.985
cg13828440 0.791 0.223 0.934 0.695 0.946 0.935 0.936 0.944
cg12996622 0.831 0.175 0.859 0.528 0.888 0.899 0.892 0.892
cg26012482 0.93 0.218 0.817 0.55 0.952 0.97 0.951 0.924
cg14384416 0.947 0.238 0.928 0.526 0.952 0.944 0.945 0.969
cg10142452 0.899 0.228 0.895 0.572 0.931 0.943 0.944 0.945
cg22749642 0.861 0.205 0.911 0.506 0.901 0.936 0.924 0.912
cg18310515 0.952 0.243 0.89 0.57 0.936 0.949 0.947 0.955
cg17766305 0.249 0.898 0.516 0.749 0.076 0.023 0.059 0.015
cg18461635 0.916 0.184 0.692 0.429 0.945 0.946 0.944 0.95
cg21333217 0.98 0.287 0.96 0.6 0.967 0.971 0.972 0.979
cg02663352 0.562 0.182 0.881 0.52 0.954 0.941 0.956 0.965
cg07065759 0.003 0.784 0.344 0.62 0.015 0.007 0.015 0.002
cg11335172 0.987 0.324 0.975 0.749 0.971 0.988 0.978 0.975
cg16212145 0.907 0.248 0.898 0.551 0.948 0.949 0.949 0.935
cg20959189 0.825 0.169 0.714 0.291 0.953 0.973 0.954 0.956
cg18748064 0.863 0.233 0.877 0.477 0.955 0.963 0.956 0.958
cg02902412 0.971 0.267 0.982 0.441 0.961 0.969 0.952 0.978
cg19828970 0.023 0.929 0.854 0.928 0.04 0.03 0.04 0.02
cg18408209 0.897 0.239 0.915 0.506 0.933 0.936 0.919 0.931
cg01726890 0.923 0.195 0.852 0.422 0.883 0.896 0.883 0.861
cg15036529 0.793 0.186 0.611 0.475 0.962 0.974 0.94 0.968
cg00366435 0.978 0.939 0.15 0.632 0.979 0.984 0.963 0.93
cg13468685 0.15 0.076 0.895 0.593 0.045 0.039 0.053 0.021
cg24462702 0.933 0.816 0.132 0.838 0.848 0.879 0.865 0.847
cg26166854 0.973 0.773 0.131 0.478 0.97 0.979 0.961 0.987
cg04712122 0.96 0.826 0.1 0.196 0.927 0.968 0.959 0.987
cg06915826 0.973 0.895 0.147 0.408 0.955 0.96 0.963 0.978
cg11848483 0.971 0.917 0.153 0.371 0.981 0.982 0.969 0.991
cg07679948 0.968 0.89 0.163 0.474 0.955 0.969 0.951 0.984
cg02380585 0.01 0.268 0.903 0.886 0.032 0.009 0.037 0.002
cg12465678 0.425 0.093 0.908 0.622 0.055 0.032 0.058 0.018
cg01874152 0.893 0.888 0.168 0.482 0.98 0.983 0.976 0.988
cg23723835 0.717 0.891 0.136 0.489 0.963 0.972 0.965 0.98
cg07713946 0.975 0.831 0.155 0.398 0.968 0.978 0.963 0.977
cg10240150 0.96 0.811 0.141 0.392 0.938 0.953 0.942 0.967
cg12101498 0.02 0.118 0.85 0.623 0.111 0.067 0.091 0.017
cg09885622 0.214 0.118 0.915 0.664 0.213 0.127 0.181 0.041
cg02661764 0.908 0.905 0.163 0.533 0.877 0.848 0.898 0.942
cg24706505 0.229 0.106 0.837 0.534 0.04 0.056 0.044 0.014
cg07837085 0.237 0.055 0.794 0.391 0.037 0.038 0.041 0.015
cg07545925 0.952 0.687 0.106 0.068 0.963 0.973 0.956 0.982
cg19628988 0.173 0.444 0.933 0.907 0.091 0.019 0.051 0.025
cg10782923 0.944 0.886 0.198 0.498 0.92 0.929 0.931 0.971
cg13651908 0.953 0.813 0.179 0.461 0.947 0.952 0.922 0.938
cg16452866 0.969 0.784 0.156 0.227 0.953 0.978 0.957 0.977
cg01987702 0.018 0.108 0.761 0.463 0.02 0.016 0.014 0.002
cg11944101 0.902 0.85 0.096 0.852 0.621 0.683 0.625 0.595
cg04244970 0.247 0.033 0.759 0.292 0.023 0.016 0.033 0.009
cg24527636 0.9 0.782 0.122 0.191 0.91 0.908 0.906 0.958
cg05074138 0.953 0.801 0.181 0.406 0.931 0.943 0.932 0.941
cg08884752 0.859 0.881 0.142 0.48 0.855 0.812 0.851 0.839
cg27207932 0.96 0.878 0.082 0.806 0.378 0.715 0.432 0.57
cg12353788 0.954 0.787 0.164 0.357 0.889 0.935 0.904 0.911
cg20661080 0.925 0.809 0.192 0.395 0.961 0.961 0.958 0.963
cg09662852 0.085 0.066 0.76 0.463 0.042 0.03 0.046 0.017
cg25416125 0.914 0.819 0.171 0.432 0.892 0.901 0.89 0.924
cg04776231 0.129 0.33 0.877 0.877 0.066 0.022 0.048 0.01
cg13606287 0.974 0.567 0.168 0.382 0.972 0.978 0.966 0.987
cg21400549 0.485 0.33 0.927 0.735 0.113 0.064 0.091 0.009
cg25226014 0.96 0.582 0.152 0.292 0.972 0.974 0.966 0.982
cg10099758 0.048 0.175 0.813 0.613 0.135 0.045 0.138 0.019
cg10837404 0.988 0.962 0.321 0.838 0.983 0.988 0.987 0.992
cg14564351 0.123 0.156 0.746 0.309 0.056 0.029 0.035 0.006
cg16193207 0.972 0.897 0.245 0.508 0.969 0.969 0.959 0.975
cg24902461 0.095 0.518 0.9 0.849 0.073 0.04 0.067 0.023
cg10599446 0.958 0.658 0.146 0.269 0.9 0.926 0.938 0.929
cg07015803 0.957 0.742 0.167 0.234 0.934 0.963 0.935 0.97
cg18154117 0.866 0.816 0.176 0.45 0.909 0.892 0.899 0.921
cg11230435 0.05 0.028 0.721 0.408 0.014 0.025 0.024 0.003
cg04642300 0.18 0.042 0.758 0.475 0.025 0.023 0.034 0.013
cg07930673 0.954 0.701 0.145 0.12 0.949 0.957 0.948 0.967
cg25939861 0.936 0.61 0.906 0.079 0.948 0.932 0.947 0.961
cg00219921 0.981 0.83 0.915 0.165 0.971 0.968 0.966 0.978
cg10977115 0.971 0.281 0.427 0.023 0.969 0.972 0.96 0.975
cg22512531 0.97 0.248 0.571 0.05 0.965 0.969 0.963 0.978
cg06164961 0.98 0.575 0.137 0.057 0.968 0.976 0.958 0.98
cg26848126 0.024 0.432 0.411 0.871 0.049 0.024 0.055 0.016
cg24456340 0.985 0.262 0.696 0.108 0.972 0.979 0.978 0.933
cg25643644 0.963 0.572 0.122 0.059 0.944 0.956 0.939 0.957
cg20894640 0.97 0.207 0.265 0.036 0.961 0.964 0.95 0.975
cg24841244 0.97 0.668 0.152 0.092 0.949 0.96 0.937 0.971
cg27470208 0.953 0.288 0.19 0.033 0.949 0.953 0.95 0.968
cg22689323 0.973 0.309 0.175 0.036 0.946 0.965 0.945 0.937
cg24612198 0.973 0.598 0.146 0.09 0.965 0.969 0.955 0.979
cg09088496 0.96 0.249 0.171 0.031 0.941 0.959 0.938 0.977
cg07661835 0.962 0.696 0.471 0.153 0.915 0.93 0.939 0.97
cg05356800 0.859 0.25 0.796 0.098 0.89 0.891 0.916 0.927
cg25711558 0.057 0.568 0.873 0.934 0.059 0.021 0.052 0.008
cg13750061 0.956 0.728 0.156 0.116 0.953 0.952 0.958 0.971
cg09453312 0.955 0.123 0.096 0.008 0.945 0.96 0.959 0.97
cg14506192 0.962 0.244 0.558 0.106 0.956 0.958 0.944 0.979
cg09032544 0.956 0.283 0.228 0.05 0.899 0.951 0.916 0.976
cg00467547 0.957 0.154 0.089 0.012 0.96 0.955 0.946 0.971
cg00277591 0.979 0.198 0.138 0.016 0.896 0.956 0.897 0.93
cg27008565 0.933 0.158 0.439 0.061 0.954 0.945 0.937 0.954
cg09354050 0.958 0.3 0.113 0.032 0.927 0.951 0.919 0.923
cg17477578 0.885 0.178 0.149 0.021 0.951 0.962 0.955 0.965
cg11531557 0.935 0.629 0.503 0.157 0.933 0.942 0.937 0.951
cg02324835 0.925 0.646 0.381 0.143 0.937 0.94 0.947 0.963
cg15935770 0.036 0.89 0.939 0.985 0.068 0.018 0.071 0.007
cg22999502 0.824 0.523 0.336 0.086 0.926 0.933 0.903 0.935
cg23318020 0.864 0.555 0.153 0.078 0.933 0.949 0.924 0.959
cg09145126 0.069 0.771 0.901 0.964 0.079 0.027 0.068 0.011
cg22742001 0.054 0.894 0.947 0.98 0.035 0.014 0.032 0.002
cg25025181 0.152 0.661 0.922 0.954 0.033 0.016 0.036 0.001
cg21330949 0.887 0.145 0.219 0.017 0.924 0.933 0.902 0.943
cg09909069 0.962 0.285 0.136 0.049 0.952 0.955 0.939 0.943
cg27111890 0.975 0.668 0.189 0.124 0.937 0.965 0.942 0.922
cg24448340 0.061 0.913 0.932 0.983 0.045 0.022 0.047 0.005
cg11760500 0.84 0.187 0.117 0.023 0.976 0.979 0.956 0.961
cg18463607 0.928 0.299 0.133 0.063 0.967 0.969 0.958 0.985
cg16093065 0.978 0.353 0.177 0.09 0.969 0.972 0.969 0.981
cg09232358 0.949 0.671 0.206 0.128 0.933 0.927 0.931 0.969
cg14278300 0.929 0.259 0.227 0.051 0.909 0.916 0.913 0.945
cg23671196 0.096 0.778 0.797 0.944 0.067 0.035 0.065 0.01
cg20487608 0.012 0.783 0.877 0.934 0.025 0.017 0.027 0.006
cg19994968 0.955 0.643 0.158 0.124 0.949 0.963 0.946 0.959
cg15046489 0.949 0.189 0.252 0.064 0.95 0.956 0.951 0.961
cg26872907 0.963 0.865 0.837 0.963 0.964 0.095 0.957 0.964
cg00701951 0.981 0.922 0.935 0.958 0.754 0.099 0.78 0.941
cg19301114 0.884 0.798 0.852 0.909 0.929 0.068 0.93 0.949
cg26538782 0.741 0.965 0.966 0.989 0.957 0.116 0.948 0.979
cg23244761 0.98 0.911 0.902 0.985 0.982 0.141 0.976 0.982
cg07002540 0.96 0.89 0.886 0.958 0.802 0.115 0.833 0.927
cg08538581 0.67 0.947 0.929 0.962 0.736 0.073 0.765 0.918
cg09220326 0.975 0.936 0.931 0.975 0.455 0.061 0.504 0.777
cg06489037 0.978 0.936 0.927 0.975 0.4 0.073 0.486 0.86
cg18066690 0.977 0.961 0.941 0.978 0.982 0.184 0.971 0.978
cg06297318 0.949 0.944 0.937 0.957 0.906 0.149 0.865 0.932
cg17594003 0.93 0.939 0.959 0.98 0.524 0.073 0.566 0.745
cg16429499 0.411 0.916 0.929 0.977 0.964 0.081 0.966 0.968
cg13430807 0.881 0.862 0.865 0.957 0.93 0.129 0.919 0.927
cg23146741 0.768 0.774 0.865 0.894 0.895 0.089 0.911 0.956
cg17660833 0.952 0.901 0.928 0.948 0.43 0.095 0.546 0.928
cg22957691 0.989 0.889 0.953 0.981 0.081 0.031 0.249 0.744
cg10278149 0.941 0.922 0.938 0.969 0.75 0.116 0.76 0.776
cg27059140 0.968 0.93 0.954 0.968 0.485 0.077 0.513 0.739
cg13093111 0.962 0.924 0.966 0.982 0.502 0.062 0.51 0.624
cg00091349 0.847 0.839 0.869 0.923 0.484 0.031 0.54 0.742
cg10933959 0.986 0.966 0.959 0.99 0.292 0.08 0.395 0.744
cg12207930 0.898 0.913 0.897 0.947 0.657 0.11 0.681 0.887
cg11814087 0.945 0.89 0.922 0.962 0.238 0.059 0.38 0.808
cg09322573 0.903 0.926 0.948 0.976 0.667 0.104 0.663 0.757
cg10624395 0.956 0.931 0.925 0.965 0.981 0.196 0.976 0.963
cg00208012 0.882 0.903 0.894 0.954 0.948 0.163 0.92 0.96
cg12655112 0.878 0.889 0.852 0.956 0.673 0.092 0.689 0.817
cg02190353 0.948 0.894 0.906 0.962 0.12 0.032 0.28 0.726
cg13932501 0.962 0.927 0.926 0.963 0.292 0.064 0.396 0.724
cg03533256 0.895 0.726 0.804 0.806 0.77 0.074 0.794 0.926
cg14985891 0.973 0.917 0.934 0.967 0.088 0.026 0.204 0.653
cg11118440 0.885 0.881 0.829 0.914 0.429 0.078 0.537 0.918
cg08908131 0.912 0.783 0.871 0.87 0.948 0.138 0.937 0.949
cg23391288 0.918 0.929 0.903 0.972 0.987 0.201 0.982 0.99
cg15835339 0.958 0.907 0.927 0.95 0.279 0.069 0.39 0.771
cg19082496 0.963 0.849 0.905 0.914 0.205 0.033 0.312 0.741
cg21683390 0.845 0.905 0.946 0.979 0.385 0.075 0.466 0.798
cg21814550 0.962 0.946 0.951 0.961 0.182 0.059 0.296 0.705
cg04605532 0.97 0.944 0.934 0.983 0.204 0.06 0.305 0.677
cg18990407 0.569 0.925 0.923 0.964 0.869 0.121 0.863 0.929
cg03002688 0.873 0.9 0.824 0.948 0.287 0.05 0.408 0.787
cg02780988 0.772 0.851 0.878 0.902 0.922 0.137 0.918 0.933
cg23363263 0.945 0.96 0.962 0.983 0.178 0.072 0.314 0.692
cg01110616 0.981 0.922 0.959 0.945 0.8 0.178 0.798 0.875
cg20978247 0.94 0.927 0.935 0.984 0.445 0.113 0.502 0.801
cg09310966 0.972 0.855 0.878 0.935 0.474 0.087 0.534 0.757
cg19358608 0.955 0.913 0.922 0.954 0.558 0.098 0.59 0.665
cg05242065 0.933 0.95 0.81 0.968 0.891 0.187 0.917 0.948
cg17541002 0.725 0.93 0.906 0.978 0.153 0.055 0.302 0.892
cg22381196 0.992 0.99 0.99 0.996 0.049 0.815 0.079 0.072
cg21685770 0.94 0.952 0.974 0.976 0.046 0.786 0.079 0.204
cg00439981 0.994 0.979 0.984 0.995 0.046 0.624 0.074 0.008
cg11557901 0.99 0.979 0.974 0.979 0.051 0.472 0.055 0.009
cg05344747 0.819 0.975 0.972 0.987 0.11 0.855 0.094 0.023
cg09859659 0.952 0.948 0.979 0.977 0.133 0.916 0.155 0.192
cg25968394 0.971 0.977 0.976 0.983 0.112 0.721 0.13 0.181
cg04609694 0.976 0.972 0.979 0.978 0.093 0.881 0.209 0.493
cg13468144 0.985 0.978 0.951 0.976 0.112 0.952 0.278 0.832
cg13178361 0.955 0.947 0.958 0.965 0.099 0.759 0.111 0.07
cg13396713 0.983 0.97 0.965 0.985 0.066 0.477 0.071 0.01
cg02021919 0.972 0.96 0.961 0.961 0.105 0.787 0.14 0.157
cg11922563 0.956 0.895 0.931 0.946 0.024 0.386 0.038 0.019
cg25025545 0.964 0.942 0.953 0.974 0.045 0.377 0.055 0.009
cg27200257 0.951 0.933 0.937 0.922 0.086 0.699 0.1 0.02
cg03406844 0.927 0.934 0.934 0.929 0.122 0.828 0.131 0.091
cg09993145 0.119 0.025 0.037 0.009 0.829 0.083 0.83 0.888
cg11354682 0.012 0.053 0.34 0.347 0.933 0.08 0.931 0.945
cg23819411 0.958 0.938 0.95 0.948 0.107 0.68 0.226 0.683
cg16125725 0.979 0.97 0.971 0.979 0.096 0.597 0.244 0.757
cg14059339 0.972 0.953 0.937 0.975 0.064 0.371 0.087 0.098
cg09109411 0.98 0.934 0.959 0.972 0.096 0.431 0.084 0.007
cg05486872 0.968 0.466 0.953 0.803 0.052 0.869 0.049 0.005
cg21341487 0.927 0.91 0.93 0.962 0.072 0.506 0.082 0.015
cg27545615 0.87 0.856 0.829 0.876 0.037 0.625 0.051 0.007
cg13633625 0.93 0.964 0.977 0.974 0.103 0.686 0.254 0.741
cg11597277 0.988 0.977 0.985 0.985 0.177 0.714 0.223 0.424
cg11389756 0.966 0.927 0.937 0.961 0.048 0.247 0.056 0.018
cg07356342 0.964 0.93 0.935 0.957 0.08 0.482 0.135 0.262
cg15033269 0.887 0.895 0.943 0.948 0.06 0.473 0.075 0.015
cg25757820 0.987 0.976 0.99 0.989 0.168 0.836 0.323 0.861
cg25605731 0.872 0.945 0.957 0.954 0.067 0.497 0.091 0.02
cg26341831 0.015 0.046 0.157 0.019 0.873 0.264 0.777 0.467
cg00405190 0.953 0.936 0.887 0.948 0.074 0.465 0.098 0.094
cg13785123 0.98 0.977 0.977 0.982 0.194 0.84 0.321 0.859
cg14919455 0.955 0.935 0.94 0.968 0.096 0.435 0.093 0.013
cg13079571 0.968 0.971 0.968 0.976 0.164 0.781 0.207 0.26
cg13618516 0.983 0.951 0.966 0.978 0.103 0.405 0.115 0.084
cg23334433 0.977 0.94 0.946 0.966 0.039 0.175 0.056 0.004
cg05171937 0.926 0.98 0.98 0.986 0.14 0.684 0.257 0.655
cg09727050 0.939 0.886 0.92 0.918 0.058 0.265 0.078 0.207
cg12019801 0.971 0.919 0.92 0.971 0.058 0.266 0.091 0.138
cg08279189 0.986 0.959 0.971 0.974 0.048 0.202 0.076 0.004
cg06766034 0.911 0.907 0.876 0.942 0.059 0.367 0.063 0.013
cg05655915 0.946 0.887 0.884 0.907 0.045 0.359 0.059 0.006
cg15891546 0.794 0.806 0.941 0.924 0.084 0.657 0.083 0.005
cg10699171 0.051 0.083 0.07 0.027 0.905 0.613 0.896 0.907
cg01040749 0.973 0.977 0.976 0.977 0.156 0.865 0.284 0.563 
cg14268557 0.967 0.955 0.943 0.973 0.084 0.233 0.079 0.025
cg09163720 0.974 0.956 0.96 0.956 0.174 0.719 0.204 0.277
cg21237481 0.989 0.98 0.988 0.979 0.82 0.936 0.735 0.12
cg10342963 0.962 0.961 0.968 0.966 0.282 0.937 0.208 0.021
cg26814100 0.986 0.98 0.982 0.98 0.333 0.818 0.315 0.057
cg18380211 0.974 0.976 0.98 0.976 0.937 0.946 0.844 0.167
cg21346154 0.962 0.987 0.983 0.99 0.588 0.875 0.544 0.118
cg01953317 0.97 0.985 0.983 0.982 0.975 0.977 0.897 0.194
cg23990557 0.968 0.949 0.968 0.957 0.625 0.936 0.549 0.118
cg04128967 0.85 0.916 0.959 0.937 0.854 0.875 0.776 0.127
cg01012879 0.96 0.945 0.967 0.955 0.281 0.94 0.271 0.082
cg01742370 0.969 0.971 0.969 0.977 0.19 0.541 0.198 0.025
cg04003615 0.905 0.908 0.936 0.95 0.322 0.658 0.262 0.025
cg00290355 0.925 0.927 0.949 0.966 0.632 0.78 0.571 0.118
cg17470397 0.993 0.983 0.982 0.992 0.951 0.738 0.842 0.188
cg01655008 0.979 0.962 0.953 0.985 0.268 0.558 0.217 0.047
cg02722672 0.948 0.923 0.951 0.952 0.35 0.815 0.32 0.094
cg04836151 0.986 0.976 0.985 0.99 0.438 0.797 0.411 0.135
cg23012855 0.966 0.97 0.969 0.965 0.9 0.928 0.788 0.21
cg04306507 0.79 0.961 0.961 0.974 0.528 0.762 0.499 0.106
cg25738116 0.949 0.867 0.902 0.887 0.5 0.837 0.457 0.098
cg07769015 0.952 0.926 0.944 0.958 0.259 0.547 0.222 0.04
cg01081737 0.965 0.95 0.946 0.961 0.199 0.508 0.181 0.038
cg26165081 0.965 0.957 0.97 0.974 0.444 0.612 0.407 0.101
cg11690666 0.987 0.976 0.973 0.986 0.19 0.64 0.194 0.082
cg00114012 0.946 0.926 0.918 0.914 0.809 0.923 0.71 0.178
cg06829969 0.831 0.913 0.954 0.965 0.221 0.527 0.175 0.02
cg23540819 0.845 0.88 0.919 0.916 0.484 0.772 0.454 0.092
cg03329755 0.986 0.981 0.987 0.985 0.923 0.976 0.788 0.248
cg25003924 0.866 0.92 0.91 0.934 0.483 0.717 0.445 0.098
cg02832512 0.926 0.853 0.921 0.867 0.184 0.801 0.178 0.057
cg02974085 0.362 0.978 0.979 0.982 0.849 0.847 0.756 0.117
cg02338345 0.736 0.914 0.986 0.98 0.827 0.874 0.746 0.172
cg07268332 0.543 0.931 0.927 0.944 0.144 0.825 0.146 0.021
cg20043649 0.688 0.97 0.975 0.986 0.256 0.499 0.22 0.026
cg22460173 0.828 0.937 0.966 0.942 0.748 0.81 0.653 0.159
cg15586392 0.949 0.925 0.937 0.951 0.184 0.422 0.164 0.029
cg26930596 0.971 0.948 0.942 0.979 0.085 0.307 0.092 0.014
